setNum;name_en;name_de;year;recommendedRetailPrice €
6216;Jawblade;LEGO® HERO Factory 6216 Jawblade;2012;9.99
6227;Breez;LEGO® HERO Factory 6227 Breez;2012;12.99
6228;Thornraxx;LEGO® HERO Factory 6228 Thornraxx;2012;9.99
6229;XT4;LEGO® HERO Factory 6229 XT4;2012;9.99
6230;Stormer XL;LEGO® HERO Factory 6230 Stormer XL;2012;29.99
6231;Speeda Demon;LEGO® HERO Factory 6231 Speeda Demon;2012;29.99
6282;Stringer;LEGO® HERO Factory 6282 Stringer;2012;9.99
6283;Voltix;LEGO® HERO Factory 6283 Voltix;2012;9.99
6293;Furno;LEGO® HERO Factory 6293 Furno;2012;12.99
6758;Read & Build Grow Caterpillar Grow;LEGO® Duplo 6758 Die Regenbogen- Raupe;2012;14.99
6759;Read & Build Busy Farm;LEGO® Duplo 6759 Spaß auf dem Bauernhof;2012;14.99
6760;Read & Build Let's Go Vroom;LEGO® Duplo 6760 Let's Go! Wroom!;2012;14.99
6784;Creative Sorter;LEGO® Duplo 6784 Formensortier-Eimer;2012;24.99
6785;Creative Cakes;LEGO® Duplo 6785 LEGO® DUPLO® Lustiges Kuchen- Spielset;2012;29.99
6857;The Dynamic Duo Funhouse Escape;LEGO® Super Heroes 6857 The Dynamic Duo Funhouse Escape;2012;49.99
6858;Catwoman Catcycle City Chase;LEGO® Super Heroes 6858 Catwoman Catcycle City Chase;2012;14.99
6860;The Batcave;LEGO® Super Heroes 6860 The Batcave;2012;79.99
6862;Secret Space Voyager;LEGO® Super Heroes 6862 Superman Vs Power Armor Lex;1991;26.99
6863;Batwing Battle Over Gotham City;LEGO® Super Heroes 6863 Super Heroes Batwing Kampf über Gotham City;2012;39.99
6864;Batmobile and the Two-Face Chase;LEGO® Super Heroes 6864 Super Heroes: Batman - Batmobil und Two-Face Verfolgung;2012;59.99
6865;Captain America's Avenging Cycle;LEGO® Super Heroes 6865 Captain America's Avenging Cycle;2012;14.99
6866;Wolverine's Chopper Showdown;LEGO® Super Heroes 6866 Wolverine's Chopper Showdown;2012;26.99
6867;Loki's Cosmic Cube Escape;LEGO® Super Heroes 6867 Loki's Flucht mit dem Kosmischen Würfel;2012;26.99
6868;Hulk's Helicarrier Breakout;LEGO® Super Heroes 6868 LEGO Super Heroes Hulk's Helicarrier Ausbruch;2012;59.99
6869;Quinjet Aerial Battle;LEGO® Super Heroes 6869 Quinjet Aerial Battle;2012;79.99
6873;Spider-Man's Doc Ock Ambush;LEGO® Super Heroes 6873 Spider-Man's Doc Ock Ambush;2012;39.99
6910;Mini Sports Car;LEGO® Creator 6910 MINI Sportwagen;2012;5.99
6911;Mini Fire Truck;LEGO® Creator 6911 MINI Feuerwehrlöschzug;2012;5.99
6912;Super Soarer;LEGO® Creator 6912 Super Soarer;2012;9.99
6913;Blue Roadster;LEGO® Creator 6913 Blaues Cabriolet;2012;9.99
6914;T-Rex;LEGO® Creator 6914 T-Rex;2012;14.99
6918;Blacksmith Attack;LEGO® Castle 6918 Blacksmith Attack;2011;9.99
7049;Alien Striker;LEGO® Space 7049 Alien Striker;2011;4.99
7051;Tripod Invader;LEGO® Space 7051 Tripod Invader;2011;19.99
7052;UFO Abduction;LEGO® Space 7052 UFO Abduction;2011;29.99
7187;Escape from Dragon's Prison;LEGO® Castle 7187 Flucht aus dem Drachengefängnis;2011;19.99
